DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,Sunrise,Sunset
2022-01-01T00:15:00,10,12,,,92,BKN:07 9 OVC:08 13,24.43,,11,050,,8,,
2022-01-01T00:35:00,10,12,,,92,OVC:08 9,24.44,,11,050,,5,,
2022-01-01T00:55:00,9,12,,,85,OVC:08 9,24.44,,11,030,,5,,
2022-01-01T01:15:00,9,10,,,92,OVC:08 9,24.44,,10,020,,5,,
2022-01-01T01:35:00,9,10,,,92,OVC:08 9,24.44,,10,040,,5,,
2022-01-01T01:55:00,9,10,,,92,,24.45,,10,050,,3,,
2022-01-01T02:15:00,9,10,,,92,,24.45,,10,020,,5,,
2022-01-01T02:35:00,9,10,,,92,BKN:07 18 OVC:08 27,24.46,,10,030,,3,,
2022-01-01T02:55:00,9,10,,,92,OVC:08 16,24.46,,10,040,,3,,
2022-01-01T03:15:00,7,10,,,85,OVC:08 12,24.46,,9,000,,0,,
2022-01-01T03:35:00,7,9,,-SN:03 |SN |,92,BKN:07 12 BKN:07 22 BKN:07 35,24.45,4,8,000,,0,,
2022-01-01T03:55:00,5,9,,-SN:03 |SN |,85,SCT:04 12 BKN:07 33 OVC:08 120,24.44,5,8,000,,0,,
2022-01-01T04:15:00,5,9,,-SN:03 |SN |,85,OVC:08 12,24.44,5,8,050,,3,,
2022-01-01T04:35:00,5,9,,-SN:03 |SN |,85,BKN:07 12 BKN:07 18 OVC:08 50,24.45,5,8,040,,3,,
2022-01-01T04:55:00,5,9,,-SN:03 |SN |,85,SCT:04 12 OVC:08 29,24.46,7,8,020,,3,,
2022-01-01T05:15:00,5,9,,-SN:03 |SN |,85,BKN:07 14 BKN:07 21 OVC:08 28,24.46,4,8,050,,5,,
2022-01-01T05:35:00,5,9,,-SN:03 |SN |,85,BKN:07 10 OVC:08 16,24.48,3,8,040,,3,,
2022-01-01T05:55:00,5,9,,-SN:03 |SN |,85,SCT:04 10 BKN:07 14 OVC:08 20,24.48,5,8,000,,0,,
2022-01-01T06:15:00,5,9,,-SN:03 |SN |,85,BKN:07 9 BKN:07 14 OVC:08 20,24.49,3,8,040,,6,,
2022-01-01T06:35:00,3,7,,-SN:03 |SN |,85,OVC:08 9,24.5,3,6,040,,5,,
2022-01-01T06:55:00,3,7,,-SN:03 |SN |,85,OVC:08 11,24.51,3,6,000,,0,,
2022-01-01T07:15:00,3,7,,-SN:03 |SN |,85,BKN:07 11 OVC:08 19,24.51,4,6,040,,3,,
2022-01-01T07:35:00,3,7,,-SN:03 |SN |,85,OVC:08 17,24.52,3,6,050,,3,,
2022-01-01T07:55:00,3,7,,-SN:03 |SN |,85,OVC:08 15,24.54,1.5,6,060,,5,,
2022-01-01T08:15:00,3,7,,-SN:03 |SN |,85,OVC:08 13,24.55,2,6,060,,3,,
2022-01-01T08:35:00,3,7,,-SN:03 |SN |,85,OVC:08 10,24.56,1.25,6,000,,0,,
2022-01-01T08:55:00,3,7,,-SN:03 |SN |,85,OVC:08 10,24.57,1.25,6,040,,3,,
2022-01-01T09:15:00,3,7,,-SN:03 |SN |,85,OVC:08 8,24.59,2,6,030,,3,,
2022-01-01T09:35:00,3,7,,-SN:03 |SN |,85,OVC:08 10,24.6,2.5,6,000,,0,,
2022-01-01T09:55:00,3,9,,-SN:03 |SN |,78,OVC:08 12,24.62,2,8,000,,0,,
2022-01-01T10:15:00,3,9,,-SN:03 |SN |,78,OVC:08 14,24.63,2.5,8,000,,0,,
2022-01-01T10:35:00,3,9,,-SN:03 |SN |,78,OVC:08 14,24.63,1.75,8,060,,5,,
2022-01-01T10:55:00,3,9,,-SN:03 |SN |,78,OVC:08 14,24.62,2.5,8,030,,3,,
2022-01-01T11:15:00,3,10,,-SN:03 |SN |,72,OVC:08 12,24.62,1.75,8,000,,0,,
2022-01-01T11:35:00,3,10,,-SN:03 |SN |,72,OVC:08 12,24.61,1.75,8,000,,0,,
2022-01-01T11:55:00,3,12,,HZ:7 |FU |HZ,67,OVC:08 12,24.61,2,10,000,,0,,
2022-01-01T12:15:00,3,12,,-SN:03 |SN |,67,OVC:08 12,24.6,1.75,10,000,,0,,
2022-01-01T12:35:00,3,10,,-SN:03 |SN |,72,OVC:08 14,24.6,3,8,000,,0,,
2022-01-01T12:55:00,5,12,,-SN:03 |SN |,73,SCT:04 8 BKN:07 14 OVC:08 65,24.6,2.5,10,000,,0,,
2022-01-01T13:15:00,5,12,,-SN:03 |SN |,73,SCT:04 6 SCT:04 12 BKN:07 65,24.6,7,10,080,,3,,
2022-01-01T13:35:00,3,12,,-SN:03 |SN |,67,SCT:04 12 SCT:04 65 BKN:07 75,24.6,10,10,000,,0,,
2022-01-01T13:55:00,3,12,,,67,SCT:04 65 BKN:07 90 BKN:07 110,24.61,10,10,050,,3,,
2022-01-01T14:15:00,5,12,,,73,SCT:04 95 BKN:07 110,24.61,10,10,000,,0,,
2022-01-01T14:35:00,5,12,,,73,SCT:04 110,24.62,10,10,000,,0,,
2022-01-01T14:55:00,5,12,,,73,CLR:00,24.61,10,10,110,,3,,
2022-01-01T15:15:00,5,14,,,67,CLR:00,24.62,10,12,090,,3,,
2022-01-01T15:35:00,5,12,,,73,CLR:00,24.63,10,10,000,,0,,
2022-01-01T15:55:00,5,12,,,73,CLR:00,24.63,10,10,000,,0,,
2022-01-01T16:15:00,5,10,,,79,CLR:00,24.63,10,9,320,,3,,
2022-01-01T16:35:00,3,9,,,78,CLR:00,24.63,10,8,000,,0,,
2022-01-01T16:55:00,5,9,,,85,CLR:00,24.63,10,8,000,,0,,
2022-01-01T17:15:00,5,9,,,85,CLR:00,24.64,10,8,090,,3,,
2022-01-01T17:35:00,5,9,,,85,CLR:00,24.64,10,8,000,,0,,
2022-01-01T17:55:00,3,5,,,92,CLR:00,24.65,10,5,000,,0,,
2022-01-01T18:15:00,3,5,,,92,CLR:00,24.66,10,5,350,,3,,
2022-01-01T18:35:00,3,5,,BR:1 ||,92,CLR:00,24.67,2.5,5,000,,0,,
2022-01-01T18:55:00,1,3,,,92,CLR:00,24.67,10,3,000,,0,,
2022-01-01T19:15:00,0,3,,,85,CLR:00,24.67,10,2,350,,3,,
2022-01-01T19:35:00,1,5,,,85,CLR:00,24.67,10,4,000,,0,,
2022-01-01T19:55:00,1,5,,-SN:03 |SN |,85,CLR:00,24.67,4,4,000,,0,,
2022-01-01T20:15:00,1,5,,,85,CLR:00,24.68,7,4,000,,0,,
2022-01-01T20:35:00,0,3,,,85,CLR:00,24.68,10,2,000,,0,,
2022-01-01T20:55:00,1,3,,,92,CLR:00,24.67,10,3,000,,0,,
2022-01-01T21:15:00,1,3,,,92,CLR:00,24.68,10,3,000,,0,,
2022-01-01T21:35:00,1,3,,,92,,,,NaN,,,NaN,,
2022-01-01T21:55:00,1,3,,,92,,,,NaN,,,NaN,,
2022-01-01T22:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-01T22:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-01T22:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-01T23:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-01T23:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-01T23:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-01T23:59:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,0723,1646
2022-01-02T00:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T00:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T00:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T01:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T01:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T01:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T02:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T02:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T02:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T03:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T03:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T03:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T04:15:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T04:35:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
2022-01-02T04:55:00,NaN,NaN,,,NaN,,,,NaN,,,NaN,,
