DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindSpeed,Sunrise,Sunset
2022-01-01 0:15:00,10,12,,,92,BKN:07 9 OVC:08 13,24.43,,11,50,8,,
2022-01-01 0:35:00,10,12,,,92,OVC:08 9,24.44,,11,50,5,,
2022-01-01 0:55:00,9,12,,,85,OVC:08 9,24.44,,11,30,5,,
2022-01-01 1:15:00,9,10,,,92,OVC:08 9,24.44,,10,20,5,,
2022-01-01 1:35:00,9,10,,,92,OVC:08 9,24.44,,10,40,5,,
2022-01-01 1:55:00,9,10,,,92,,24.45,,10,50,3,,
2022-01-01 2:15:00,9,10,,,92,,24.45,,10,20,5,,
2022-01-01 2:35:00,9,10,,,92,BKN:07 18 OVC:08 27,24.46,,10,30,3,,
2022-01-01 2:55:00,9,10,,,92,OVC:08 16,24.46,,10,40,3,,
2022-01-01 3:15:00,7,10,,,85,OVC:08 12,24.46,,9,0,0,,
2022-01-01 3:35:00,7,9,,-SN:03 |SN |,92,BKN:07 12 BKN:07 22 BKN:07 35,24.45,4,8,0,0,,
2022-01-01 3:55:00,5,9,,-SN:03 |SN |,85,SCT:04 12 BKN:07 33 OVC:08 120,24.44,5,8,0,0,,
2022-01-01 4:15:00,5,9,,-SN:03 |SN |,85,OVC:08 12,24.44,5,8,50,3,,
2022-01-01 4:35:00,5,9,,-SN:03 |SN |,85,BKN:07 12 BKN:07 18 OVC:08 50,24.45,5,8,40,3,,
2022-01-01 4:55:00,5,9,,-SN:03 |SN |,85,SCT:04 12 OVC:08 29,24.46,7,8,20,3,,
2022-01-01 5:15:00,5,9,,-SN:03 |SN |,85,BKN:07 14 BKN:07 21 OVC:08 28,24.46,4,8,50,5,,
2022-01-01 5:35:00,5,9,,-SN:03 |SN |,85,BKN:07 10 OVC:08 16,24.48,3,8,40,3,,
2022-01-01 5:55:00,5,9,,-SN:03 |SN |,85,SCT:04 10 BKN:07 14 OVC:08 20,24.48,5,8,0,0,,
2022-01-01 6:15:00,5,9,,-SN:03 |SN |,85,BKN:07 9 BKN:07 14 OVC:08 20,24.49,3,8,40,6,,
2022-01-01 6:35:00,3,7,,-SN:03 |SN |,85,OVC:08 9,24.5,3,6,40,5,,
2022-01-01 6:55:00,3,7,,-SN:03 |SN |,85,OVC:08 11,24.51,3,6,0,0,,
2022-01-01 7:15:00,3,7,,-SN:03 |SN |,85,BKN:07 11 OVC:08 19,24.51,4,6,40,3,,
2022-01-01 7:35:00,3,7,,-SN:03 |SN |,85,OVC:08 17,24.52,3,6,50,3,,
2022-01-01 7:55:00,3,7,,-SN:03 |SN |,85,OVC:08 15,24.54,1.5,6,60,5,,
2022-01-01 8:15:00,3,7,,-SN:03 |SN |,85,OVC:08 13,24.55,2,6,60,3,,
2022-01-01 8:35:00,3,7,,-SN:03 |SN |,85,OVC:08 10,24.56,1.25,6,0,0,,
2022-01-01 8:55:00,3,7,,-SN:03 |SN |,85,OVC:08 10,24.57,1.25,6,40,3,,
2022-01-01 9:15:00,3,7,,-SN:03 |SN |,85,OVC:08 8,24.59,2,6,30,3,,
2022-01-01 9:35:00,3,7,,-SN:03 |SN |,85,OVC:08 10,24.6,2.5,6,0,0,,
2022-01-01 9:55:00,3,9,,-SN:03 |SN |,78,OVC:08 12,24.62,2,8,0,0,,
2022-01-01 10:15:00,3,9,,-SN:03 |SN |,78,OVC:08 14,24.63,2.5,8,0,0,,
2022-01-01 10:35:00,3,9,,-SN:03 |SN |,78,OVC:08 14,24.63,1.75,8,60,5,,
2022-01-01 10:55:00,3,9,,-SN:03 |SN |,78,OVC:08 14,24.62,2.5,8,30,3,,
2022-01-01 11:15:00,3,10,,-SN:03 |SN |,72,OVC:08 12,24.62,1.75,8,0,0,,
2022-01-01 11:35:00,3,10,,-SN:03 |SN |,72,OVC:08 12,24.61,1.75,8,0,0,,
2022-01-01 11:55:00,3,12,,HZ:7 |FU |HZ,67,OVC:08 12,24.61,2,10,0,0,,
2022-01-01 12:15:00,3,12,,-SN:03 |SN |,67,OVC:08 12,24.6,1.75,10,0,0,,
2022-01-01 12:35:00,3,10,,-SN:03 |SN |,72,OVC:08 14,24.6,3,8,0,0,,
2022-01-01 12:55:00,5,12,,-SN:03 |SN |,73,SCT:04 8 BKN:07 14 OVC:08 65,24.6,2.5,10,0,0,,
2022-01-01 13:15:00,5,12,,-SN:03 |SN |,73,SCT:04 6 SCT:04 12 BKN:07 65,24.6,7,10,80,3,,
2022-01-01 13:35:00,3,12,,-SN:03 |SN |,67,SCT:04 12 SCT:04 65 BKN:07 75,24.6,10,10,0,0,,
2022-01-01 13:55:00,3,12,,,67,SCT:04 65 BKN:07 90 BKN:07 110,24.61,10,10,50,3,,
2022-01-01 14:15:00,5,12,,,73,SCT:04 95 BKN:07 110,24.61,10,10,0,0,,
2022-01-01 14:35:00,5,12,,,73,SCT:04 110,24.62,10,10,0,0,,
2022-01-01 14:55:00,5,12,,,73,CLR:00,24.61,10,10,110,3,,
2022-01-01 15:15:00,5,14,,,67,CLR:00,24.62,10,12,90,3,,
2022-01-01 15:35:00,5,12,,,73,CLR:00,24.63,10,10,0,0,,
2022-01-01 15:55:00,5,12,,,73,CLR:00,24.63,10,10,0,0,,
2022-01-01 16:15:00,5,10,,,79,CLR:00,24.63,10,9,320,3,,
2022-01-01 16:35:00,3,9,,,78,CLR:00,24.63,10,8,0,0,,
2022-01-01 16:55:00,5,9,,,85,CLR:00,24.63,10,8,0,0,,
2022-01-01 17:15:00,5,9,,,85,CLR:00,24.64,10,8,90,3,,
2022-01-01 17:35:00,5,9,,,85,CLR:00,24.64,10,8,0,0,,
2022-01-01 17:55:00,3,5,,,92,CLR:00,24.65,10,5,0,0,,
2022-01-01 18:15:00,3,5,,,92,CLR:00,24.66,10,5,350,3,,
2022-01-01 18:35:00,3,5,,BR:1 ||,92,CLR:00,24.67,2.5,5,0,0,,
2022-01-01 18:55:00,1,3,,,92,CLR:00,24.67,10,3,0,0,,
2022-01-01 19:15:00,0,3,,,85,CLR:00,24.67,10,2,350,3,,
2022-01-01 19:35:00,1,5,,,85,CLR:00,24.67,10,4,0,0,,
2022-01-01 19:55:00,1,5,,-SN:03 |SN |,85,CLR:00,24.67,4,4,0,0,,
2022-01-01 20:15:00,1,5,,,85,CLR:00,24.68,7,4,0,0,,
2022-01-01 20:35:00,0,3,,,85,CLR:00,24.68,10,2,0,0,,
2022-01-01 20:55:00,1,3,,,92,CLR:00,24.67,10,3,0,0,,
2022-01-01 21:15:00,1,3,,,92,CLR:00,24.68,10,3,0,0,,
2022-01-01 21:35:00,1,3,,,92,,,,NaN,,NaN,,
2022-01-01 21:55:00,1,3,,,92,,,,NaN,,NaN,,
2022-01-01 22:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-01 22:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-01 22:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-01 23:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-01 23:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-01 23:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-01 23:59:00,NaN,NaN,,,NaN,,,,NaN,,NaN,723,1646
2022-01-02 0:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 0:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 0:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 1:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 1:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 1:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 2:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 2:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 2:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 3:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 3:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 3:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 4:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 4:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 4:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 5:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 5:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 5:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 6:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 6:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 6:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 7:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 7:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 7:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 8:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 8:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 8:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 9:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 9:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 9:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 10:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 10:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 10:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 11:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 11:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 11:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 12:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 12:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 12:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 13:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 13:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 13:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 14:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 14:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 14:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 15:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 15:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 15:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 16:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 16:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 16:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 17:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 17:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 17:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 18:15:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 18:35:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
2022-01-02 18:55:00,NaN,NaN,,,NaN,,,,NaN,,NaN,,
